FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count 
3.5511374979853E13,4,91821,-1,-1,10
3.5193620864909E13,4,91822,0,2.9365903567773E13,10
3.5193620864909E13,4,91822,-1,-1,10
3.5193620864909E13,4,91823,0,2.9365903567773E13,11
3.5193620864909E13,4,91823,-1,-1,11
3.5511374979853E13,4,91824,0,2.9365903567773E13,11
3.5511374979853E13,4,91824,-1,-1,11
3.5511374979853E13,4,91825,0,2.9365903567773E13,12
3.5511374979853E13,4,91825,-1,-1,12
3.5511374979853E13,4,91826,0,2.9365903567773E13,13
3.5511374979853E13,4,91826,-1,-1,13
2.9365903567773E13,5,91828,0,2.2991142120251E13,2
2.9365903567773E13,5,91828,-1,-1,2
2.9365903567773E13,5,91830,0,2.2991142120251E13,3
2.9365903567773E13,5,91830,-1,-1,3
2.9365903567773E13,5,91832,0,2.2991142120251E13,4
2.9365903567773E13,5,91832,-1,-1,4
2.9365903567773E13,5,91834,0,2.2991142120251E13,5
2.9365903567773E13,5,91834,-1,-1,5
2.9365903567773E13,5,91836,0,2.2991142120251E13,6
2.9365903567773E13,5,91836,-1,-1,6
2.9365903567773E13,5,91838,0,2.2991142120251E13,7
2.9365903567773E13,5,91838,-1,-1,7
2.9365903567773E13,5,91840,0,2.2991142120251E13,8
2.9365903567773E13,5,91840,-1,-1,8
2.9365903567773E13,5,91842,0,2.2991142120251E13,9
2.9365903567773E13,5,91842,-1,-1,9
2.9365903567773E13,5,91844,0,2.2991142120251E13,10
2.9365903567773E13,5,91844,-1,-1,10
2.9365903567773E13,5,91846,0,2.2991142120251E13,11
2.9365903567773E13,5,91846,-1,-1,11
2.2991142120251E13,6,91852,0,1.7203878336875E13,2
2.2991142120251E13,6,91852,-1,-1,2
2.2991142120251E13,6,91861,0,1.7203878336875E13,3
2.2991142120251E13,6,91861,-1,-1,3
1.81945880416E11,16,91872,0,3.6601375144E10,1
5.16304059472E11,15,91873,0,1.81945880416E11,1
1.145826713936E12,14,91879,0,5.16304059472E11,1
1.897172864336E12,13,91881,0,1.145826713936E12,1
3.10632816062E12,12,91882,0,1.897172864336E12,1
4.974114431754E12,11,91883,0,3.10632816062E12,1
7.059275244106E12,10,91886,0,4.974114431754E12,1
9.475240579279E12,9,91887,0,7.059275244106E12,1
1.3159327797979E13,8,91891,0,9.475240579279E12,1
1.674942228124E13,7,91892,0,1.3159327797979E13,1
2.1695477993656E13,6,91894,0,1.674942228124E13,1
1.674942228124E13,7,91937,0,1.3159327797979E13,2
1.674942228124E13,7,91937,-1,-1,2
1.674942228124E13,7,91938,0,1.3159327797979E13,3
1.674942228124E13,7,91938,-1,-1,3
1.7714566960992E13,7,91945,0,1.3159327797979E13,1
2.1962570065344E13,6,91947,0,1.7714566960992E13,1
2.2372415132976E13,6,91976,0,1.7714566960992E13,1
2.6650007484788E13,5,91979,0,2.2372415132976E13,1
3.3884094815272E13,4,91981,0,2.6650007484788E13,1
3.3884094815272E13,4,92004,0,2.6650007484788E13,2
3.3884094815272E13,4,92004,-1,-1,2
3.4647953726696E13,4,92011,0,2.6650007484788E13,1
4.3739288014496E13,3,92017,0,3.4647953726696E13,1
4.3739288014496E13,3,92044,0,3.4647953726696E13,2
4.3739288014496E13,3,92044,-1,-1,2
4.3739288014496E13,3,92050,0,3.4647953726696E13,3
4.3739288014496E13,3,92050,-1,-1,3
4.3739288014496E13,3,92056,0,3.4647953726696E13,4
4.3739288014496E13,3,92056,-1,-1,4
3.3884094815272E13,4,92061,0,2.6650007484788E13,3
3.3884094815272E13,4,92061,-1,-1,3
3.3884094815272E13,4,92063,0,2.6650007484788E13,4
3.3884094815272E13,4,92063,-1,-1,4
3.4787183345896E13,4,92069,0,2.6650007484788E13,1
4.2142713160846E13,3,92072,0,3.4787183345896E13,1
5.132967621595E13,2,92073,0,4.2142713160846E13,1
6.1890764274494E13,1,92074,0,5.132967621595E13,1
